page;table;row_in_table;COMMUNE;TYPE DE VOIE;LIBELLE DE VOIE;NUMERO (DEBUT DE VOIE);INDICE DE REPETITION DE DEBUT;NUMERO (FIN DE VOIE, INCLUS);INDICE DE REPETITION DE FIN;PARITE;LYCEE DE RATTACHEMENT
3;1;14;TOULOUSE;RUE;ANNIE GIRARDOT;1;;9999;;PI;LGT JOSEPHINE BAKER - TOULOUSE
3;1;15;TOULOUSE;RUE;ANTOINE BAYES;1;;9999;;PI;LGT JOSEPHINE BAKER - TOULOUSE
3;1;16;TOULOUSE;RUE;ANTOINE COURTHIEU;1;;9999;;PI;LG SAINT-SERNIN - TOULOUSE
3;1;17;TOULOUSE;RUE;ANTOINE DARQUIER;1;;9999;;PI;LGT MARCELIN BERTHELOT - TOULOUSE
3;1;18;TOULOUSE;RUE;ANTOINE DE GARGAS;1;;9999;;PI;LG SAINT-SERNIN - TOULOUSE
3;1;19;TOULOUSE;RUE;ANTOINE DE MALRAS;1;;9999;;PI;LGT JOSEPHINE BAKER - TOULOUSE
3;1;20;TOULOUSE;AVENUE;ANTOINE DE ST EXUPERY;1;;9999;;PI;LGT MARCELIN BERTHELOT - TOULOUSE
3;1;21;TOULOUSE;RUE;ANTOINE DEVILLE;1;;9999;;PI;LG PIERRE DE FERMAT - TOULOUSE
3;1;22;TOULOUSE;RUE;ANTOINE LAUMET;1;;9999;;PI;LGT JOSEPHINE BAKER - TOULOUSE
3;1;23;TOULOUSE;ALLEE;ANTOINE OSETE;1;;9999;;PI;LGT DES ARENES - TOULOUSE
3;1;24;TOULOUSE;RUE;ANTOINE PASTRE;1;;9999;;PI;LPO RAYMOND NAVES - TOULOUSE
3;1;25;TOULOUSE;RUE;ANTOINE PAUTARD;1;;9999;;PI;LG SAINT-SERNIN - TOULOUSE
3;1;26;TOULOUSE;RUE;ANTOINE PORTAL;1;;9999;;PI;LGT JOSEPHINE BAKER - TOULOUSE
3;1;27;TOULOUSE;RUE;ANTOINE PUGET;1;;9999;;PI;LGT TOULOUSE-LAUTREC - TOULOUSE
3;1;28;TOULOUSE;RUE;ANTOINE RICORD;1;;9999;;PI;LPO DEODAT DE SEVERAC - TOULOUSE
3;1;29;TOULOUSE;RUE;ANTOINE VAN DYCK;1;;9999;;PI;LGT TOULOUSE-LAUTREC - TOULOUSE
3;1;30;TOULOUSE;IMPASSE;ANTONIN DELOUME;1;;9999;;PI;LGT JOSEPHINE BAKER - TOULOUSE
3;1;31;TOULOUSE;PLACE;ANTONIN FROIDURE;1;;9999;;PI;LPO RAYMOND NAVES - TOULOUSE
3;1;32;TOULOUSE;RUE;ANTONIN MERCIE;1;;9999;;PI;LG PIERRE DE FERMAT - TOULOUSE
3;1;33;TOULOUSE;RUE;ANTONIN PERBOSC;1;;9999;;PI;LGT OZENNE - TOULOUSE
3;1;34;TOULOUSE;RUE;ANTONIN PEYRILLOUS;1;;9999;;PI;LG PIERRE DE FERMAT - TOULOUSE
3;1;35;TOULOUSE;ALLEE;ANTONIO MACHADO;1;;9999;;PI;LGT JOSEPHINE BAKER - TOULOUSE
3;1;36;TOULOUSE;RUE;ANTONIO VIVALDI;1;;9999;;PI;LGT DES ARENES - TOULOUSE
3;1;37;TOULOUSE;RUE;ARAGO;1;;9999;;PI;LGT OZENNE - TOULOUSE
3;1;38;TOULOUSE;PLACE;ARAGO;1;;9999;;PI;LGT OZENNE - TOULOUSE
3;1;39;TOULOUSE;RUE;ARIANE;1;;9999;;PI;LGT JOSEPHINE BAKER - TOULOUSE
3;1;40;TOULOUSE;RUE;ARISTIDE BERGES;1;;9999;;PI;LPO DEODAT DE SEVERAC - TOULOUSE
3;1;41;TOULOUSE;AVENUE;ARISTIDE BRIAND;1;;9999;;PI;LGT MARCELIN BERTHELOT - TOULOUSE
3;1;42;TOULOUSE;RUE;ARISTIDE MAILLOL;1;;9999;;PI;LGT JOSEPHINE BAKER - TOULOUSE
